0029-0752-0018;0029-0752;c;75218;True;;29-752-18;29-752;Rozdział 75218;Służba Kontrwywiadu Wojskowego;23;0;4910;132640;19953;0;0;0;157503
0029-0752-0019;0029-0752;c;75219;True;;29-752-19;29-752;Rozdział 75219;Wojska Specjalne;24;0;11278;231170;0;0;0;0;242448
0029-0752-0020;0029-0752;c;75220;True;;29-752-20;29-752;Rozdział 75220;Zabezpieczenie  wojsk;25;0;49684;3715600;0;0;0;0;3765284
0029-0752-0095;0029-0752;c;75295;True;;29-752-95;29-752;Rozdział 75295;Pozostała działalność;26;151175;92568;522077;0;0;0;0;765820
0029-0753;0029;b;753;False;;29-753;29;Dział 753;Obowiązkowe ubezpieczenia społeczne;27;0;5705936;307545;5735;0;0;0;6019216
0029-0753-0001;0029-0753;c;75301;True;;29-753-01;29-753;Rozdział 75301;Świadczenia pieniężne z zaopatrzenia emerytalnego ;28;0;5705617;307545;5735;0;0;0;6018897
0029-0753-0002;0029-0753;c;75302;True;;29-753-02;29-753;Rozdział 75302;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne;29;0;319;0;0;0;0;0;319
0029-0755;0029;b;755;False;;29-755;29;Dział 755;Wymiar sprawiedliwości;30;0;1327;56401;1837;0;0;0;59565
0029-0755-0003;0029-0755;c;75503;True;;29-755-03;29-755;Rozdział 75503;Sądy wojskowe;31;0;620;18852;817;0;0;0;20289
0029-0755-0006;0029-0755;c;75506;True;;29-755-06;29-755;Rozdział 75506;Wojskowe jednostki organizacyjne prokuratury;32;0;707;37549;1020;0;0;0;39276
0029-0803;0029;b;803;False;;29-803;29;Dział 803;Szkolnictwo wyższe;33;129534;70;0;26073;0;0;0;155677
0029-0803-0002;0029-0803;c;80302;True;;29-803-02;29-803;Rozdział 80302;Uczelnie wojskowe;34;129534;70;0;26073;0;0;0;155677
0029-0851;0029;b;851;False;;29-851;29;Dział 851;Ochrona zdrowia;35;2549;3714;157314;96494;0;0;0;260071
0029-0851-0056;0029-0851;c;85156;True;;29-851-56;29-851;Rozdział 85156;Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego;36;0;0;2113;0;0;0;0;2113
0029-0851-0057;0029-0851;c;85157;True;;29-851-57;29-851;Rozdział 85157;Staże i specjalizacje medyczne;37;0;0;282;0;0;0;0;282
0029-0851-0095;0029-0851;c;85195;True;;29-851-95;29-851;Rozdział 85195;Pozostała działalność;38;2549;3714;154919;96494;0;0;0;257676
0029-0921;0029;b;921;False;;29-921;29;Dział 921;Kultura i ochrona dziedzictwa narodowego;39;23698;0;0;31690;0;0;0;55388
0029-0921-0014;0029-0921;c;92114;True;;29-921-14;29-921;Rozdział 92114;Pozostałe instytucje kultury;40;7173;0;0;0;0;0;0;7173
0029-0921-0018;0029-0921;c;92118;True;;29-921-18;29-921;Rozdział 92118;Muzea;41;16525;0;0;31690;0;0;0;48215
0030;;a;30;False;;30;;Część 30;OŚWIATA I WYCHOWANIE;1;32385;11568;310719;5917;0;0;48993;409582
0030-0150;0030;b;150;False;;30-150;30;Dział 150;Przetwórstwo przemysłowe;2;1000;0;0;0;0;0;0;1000
0030-0150-0002;0030-0150;c;15002;True;;30-150-02;30-150;Rozdział 15002;Wydawanie podręczników szkolnych i akademickich;3;1000;0;0;0;0;0;0;1000
0030-0750;0030;b;750;False;;30-750;30;Dział 750;Administracja publiczna;4;0;59;39270;2950;0;0;9435;51714
0030-0750-0001;0030-0750;c;75001;True;;30-750-01;30-750;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;5;0;59;37785;2950;0;0;9435;50229
0030-0750-0076;0030-0750;c;75076;True;;30-750-76;30-750;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;6;0;0;1485;0;0;0;0;1485
0030-0752;0030;b;752;False;;30-752;30;Dział 752;Obrona narodowa;7;0;0;14;0;0;0;0;14
0030-0752-0012;0030-0752;c;75212;True;;30-752-12;30-752;Rozdział 75212;Pozostałe wydatki obronne;8;0;0;14;0;0;0;0;14
0030-0754;0030;b;754;False;;30-754;30;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;9;0;0;15;0;0;0;0;15
0030-0754-0021;0030-0754;c;75421;True;;30-754-21;30-754;Rozdział 75421;Zarządzanie kryzysowe;10;0;0;15;0;0;0;0;15
0030-0801;0030;b;801;False;;30-801;30;Dział 801;Oświata i wychowanie;11;21335;10549;271300;2967;0;0;39558;345709
0030-0801-0035;0030-0801;c;80135;True;;30-801-35;30-801;Rozdział 80135;Szkolnictwo polskie za granicą ;12;0;5308;30899;300;0;0;0;36507
