KANCELARIA PREZESA RADY MINISTRÓW;16;;;Administracja publiczna;750;Pozostała działalność;75095;;;;150;2340;1217;0;0;0;1878;5585
KANCELARIA PREZESA RADY MINISTRÓW;16;;;Obrona narodowa;752;Pozostałe wydatki obronne;75212;;;;0;0;23;0;0;0;0;23
ADMINISTRACJA  PUBLICZNA;17;;;Działalność usługowa;710;Prace geodezyjne i kartograficzne (nieinwestycyjne);71013;;;;0;0;6744;0;0;0;0;6744
ADMINISTRACJA  PUBLICZNA;17;;;Działalność usługowa;710;Główny Urząd Geodezji i Kartografii;71021;;;;0;25;12199;180;0;0;11133;23537
ADMINISTRACJA  PUBLICZNA;17;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;3;8562;132;0;0;10078;18775
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Gospodarka gruntami i nieruchomościami;70005;;;;0;0;721;0;0;0;0;721
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Refundacja premii gwarancyjnych oraz premii za systematyczne oszczędzanie;70015;;;;520000;0;0;0;0;0;0;520000
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Wykup odsetek od kredytów mieszkaniowych;70017;;;;124800;0;5200;0;0;0;0;130000
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Fundusz Termomodernizacji i Remontów;70020;;;;200000;0;0;0;0;0;0;200000
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Fundusz Dopłat;70022;;;;517084;0;0;0;0;0;0;517084
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Gospodarka mieszkaniowa;700;Pozostała działalność;70095;;;;0;0;1279;0;0;0;0;1279
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Działalność usługowa;710;Nadzór budowlany;71015;;;;0;3;17336;150;0;0;0;17489
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Działalność usługowa;710;Pozostała działalność;71095;;;;0;160;1042;0;0;0;0;1202
BUDOWNICTWO,  GOSPODARKA  PRZESTRZENNA  I MIESZKANIOWA;18;;;Administracja publiczna;750;Urzędy naczelnych i centralnych organów administracji rządowej;75001;;;;0;10;30414;849;0;0;0;31273
