"Część";"Numer części";"Część";"Numer części";"Dział";"Numer działu";"Rozdział";"Numer rozdziału";"Dotacje i subwencje";"Świadczenia na rzecz osób fizycznych";"Wydatki bieżące jednostek budżetowych";"Wydatki majątkowe";"Wydatki na obsługę długu Skarbu Państwa";"Współfinansowanie projektów z udziałem środków Unii Europejskiej";"Środki własne Unii Europejskiej";"Ogółem (w tys. zł.)"
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"";"";"";"";"";"";103440;2;7623;1182;0;1017;0;113264
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Administracja publiczna";750;"";"";"";"";1275;2;7623;80;0;1017;0;9997
"Administracja publiczna";750;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";1155;2;7623;80;0;0;0;8860
"Administracja publiczna";750;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Pozostała działalność";75095;"";"";120;0;0;0;0;1017;0;1137
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Różne rozliczenia";758;"";"";"";"";89185;0;0;0;0;0;0;89185
"Różne rozliczenia";758;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Fundusz Kościelny";75822;"";"";89185;0;0;0;0;0;0;89185
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Oświata i wychowanie";801;"";"";"";"";160;0;0;721;0;0;0;881
"Oświata i wychowanie";801;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Licea ogólnokształcące ";80120;"";"";0;0;0;721;0;0;0;721
"Oświata i wychowanie";801;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Pozostała działalność";80195;"";"";160;0;0;0;0;0;0;160
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Szkolnictwo wyższe";803;"";"";"";"";345;0;0;0;0;0;0;345
"Szkolnictwo wyższe";803;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Pozostała działalność";80395;"";"";345;0;0;0;0;0;0;345
"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Kultura i ochrona dziedzictwa narodowego";921;"";"";"";"";12475;0;0;381;0;0;0;12856
"Kultura i ochrona dziedzictwa narodowego";921;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Działalność radiowa i telewizyjna";92104;"";"";870;0;0;0;0;0;0;870
"Kultura i ochrona dziedzictwa narodowego";921;"WYZNANIA RELIGIJNE ORAZ MNIEJSZOŚCI NARODOWE I ETNICZNE";43;"Pozostałe zadania w zakresie kultury";92105;"";"";11605;0;0;381;0;0;0;11986
"ZABEZPIECZENIE SPOŁECZNE";44;"";"";"";"";"";"";760035;136;44771;0;0;1275;0;806217
"ZABEZPIECZENIE SPOŁECZNE";44;"Administracja publiczna";750;"";"";"";"";0;136;33555;0;0;494;0;34185
"Administracja publiczna";750;"ZABEZPIECZENIE SPOŁECZNE";44;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;36;31515;0;0;494;0;32045
"Administracja publiczna";750;"ZABEZPIECZENIE SPOŁECZNE";44;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;1486;0;0;0;0;1486
"Administracja publiczna";750;"ZABEZPIECZENIE SPOŁECZNE";44;"Pozostała działalność";75095;"";"";0;100;554;0;0;0;0;654
"ZABEZPIECZENIE SPOŁECZNE";44;"Obrona narodowa";752;"";"";"";"";0;0;15;0;0;0;0;15
"Obrona narodowa";752;"ZABEZPIECZENIE SPOŁECZNE";44;"Pozostałe wydatki obronne";75212;"";"";0;0;15;0;0;0;0;15
"ZABEZPIECZENIE SPOŁECZNE";44;"Pomoc społeczna";852;"";"";"";"";12349;0;11201;0;0;781;0;24331
"ZABEZPIECZENIE SPOŁECZNE";44;"Pomoc społeczna";852;"Pozostała działalność";85295;"";"";12349;0;11201;0;0;781;0;24331
"ZABEZPIECZENIE SPOŁECZNE";44;"Pozostałe zadania w zakresie polityki społecznej";853;"";"";"";"";747686;0;0;0;0;0;0;747686
"Pozostałe zadania w zakresie polityki społecznej";853;"ZABEZPIECZENIE SPOŁECZNE";44;"Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych";85324;"";"";747686;0;0;0;0;0;0;747686
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"";"";"";"";"";"";12235;250060;1358443;168877;0;33921;0;1823536
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"";"";"";"";12235;247018;1325970;168877;0;33921;0;1788021
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;129;242995;56401;0;124;0;299649
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Placówki zagraniczne";75057;"";"";0;246889;567438;111436;0;0;0;925763
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Działalność informacyjna i kulturalna prowadzona za granicą";75058;"";"";0;0;46627;0;0;0;0;46627
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Polski Instytut Spraw Międzynarodowych";75062;"";"";9107;0;0;0;0;0;0;9107
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Polski Komitet do spraw UNESCO";75063;"";"";1228;0;0;0;0;0;0;1228
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;110443;1040;0;0;0;111483
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Administracja publiczna";750;"Pozostała działalność";75095;"";"";1900;0;358467;0;0;33797;0;394164
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Obrona narodowa";752;"";"";"";"";0;0;710;0;0;0;0;710
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;710;0;0;0;0;710
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Oświata i wychowanie";801;"";"";"";"";0;0;4405;0;0;0;0;4405
"Oświata i wychowanie";801;"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Szkolnictwo polskie za granicą";80135;"";"";0;0;4405;0;0;0;0;4405
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Pozostałe zadania w zakresie polityki społecznej";853;"";"";"";"";0;3042;500;0;0;0;0;3542
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Pozostałe zadania w zakresie polityki społecznej";853;"Opieka i pomoc dla Polonii i Polaków za granicą";85330;"";"";0;3042;500;0;0;0;0;3542
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Edukacyjna opieka wychowawcza";854;"";"";"";"";0;0;614;0;0;0;0;614
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Edukacyjna opieka wychowawcza";854;"Kolonie i obozy dla młodzieży polonijnej w kraju";85413;"";"";0;0;614;0;0;0;0;614
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Kultura i ochrona dziedzictwa narodowego";921;"";"";"";"";0;0;26244;0;0;0;0;26244
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Kultura i ochrona dziedzictwa narodowego";921;"Działalność radiowa i telewizyjna";92104;"";"";0;0;21815;0;0;0;0;21815
"SPRAWY ZAGRANICZNE  I CZŁONKOSTWO  RZECZYPOSPOLITEJ POLSKIEJ W UNII EUROPEJSKIEJ";45;"Kultura i ochrona dziedzictwa narodowego";921;"Pozostała działalność";92195;"";"";0;0;4429;0;0;0;0;4429
"ZDROWIE";46;"";"";"";"";"";"";1727346;3915;1023354;843222;0;88679;0;3686516
"ZDROWIE";46;"Administracja publiczna";750;"";"";"";"";0;220;48953;1500;0;7380;0;58053
"ZDROWIE";46;"Administracja publiczna";750;"Urzędy naczelnych i centralnych organów administracji rządowej";75001;"";"";0;220;46396;1500;0;7380;0;55496
"ZDROWIE";46;"Administracja publiczna";750;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";75076;"";"";0;0;2557;0;0;0;0;2557
"ZDROWIE";46;"Obrona narodowa";752;"";"";"";"";0;0;11395;0;0;0;0;11395
"ZDROWIE";46;"Obrona narodowa";752;"Pozostałe wydatki obronne";75212;"";"";0;0;11395;0;0;0;0;11395
"ZDROWIE";46;"Szkolnictwo wyższe";803;"";"";"";"";1317256;2752;27;35000;0;9138;0;1364173
